ID,Title,Date,Tags,Goal Amount,Amount Raised,Difference,Success,Difference,Donors,Shares,Followers,Description
0,Beating Sepsis for New Years,Created 4 days ago,"Medical, Illness & Healing",2500,390,-2110,0,0,8,19,8000,"There's one thing worse than asking friends / family / strangers for help, and that's being put in a position that requires you to do so.åÊI'm not sure whether it was a cut, insect bite, or simply having bit my tongue too hard, but with no symptoms whatsoever, on the evening of November 6, my temperature soared to 105å¡F. Tests were performed and I went from the ERto a speedy admission with sepsis.My situation became more grim when further testing revealed the bacteria had begun to attack my heart, which doctors suspected since I have a graft in my aorta and an artificial valve.åÊAfter constant iv antibiotics and a dozen moretests, there seems to be a light at the end of the tunnel. However, the tunnel as it's been explained to me stretches into January, 2021. I'm hospitalized for eight weeks.åÊI'm not able to return to work until that time and I'm simply unable to make ends meet without any income. With a very promising prognosis, I'm glad to say this situation is temporary and I should be back in the saddle (aka the teacher's desk in my classroom!) in time for the spring semester.I know a lot of you reading this are furloughed,jobless, suffering crippling underemployment or worse... And I don't expect any apologies or explanations from anyone who can't possibly help me... Honestly, this is a very last resort and,if you've read this far you're likely someone in my life that loves me and that's enough -- I hope I can repay you in some fashion once I'm out of the hospital and back helping my kids acquire their second (or third or fourth) language.åÊFeel free to call / text / messenger / FaceTime or reach out any way you can. I'm at National Taiwan University Hospital Hsinchu Branch ward 4A room 10D. I've got about 6 or 7 weeks left.åÊAny help can bestow is simply going to my monthly expenses and any expenses I'll incur here in hospital. Your kindness and help are greatly appreciated and I'm deeply thankful. Stay safe and reach out to your friends / family to tell them you love them. LIFE IS GREAT, ALBEIT SHORTER THAN WE EXPECT.åÊRead more"
1,Liver transplant for baby,"Created December 7, 2019","Medical, Illness & Healing",0,5000,5000,1,0,0,0,0,For the baby liver transplant that need a large amount of money to initiate the operation as soon as posible. Thank you for your donations even small amount we really appreciate this.
2,Justice for Jacob Blake,"Created August 24, 2020","Medical, Illness & Healing",3000000,2298160,-701840,0,0,72500,11800,588,"On August 23rd my son was shot multiple times in the back by a Kenosha Police Department officer, after my son broke up an altercation by an unrelated party. The shooting has now left my son critically injured as he fights for his life. The extent of my son‰Ûªs injuries is unknown, but we remain prayerful as he continues to undergo multiple rounds of operations to save his life.This fund is established to cover my son‰Ûªs medical expenses, mental and grief counseling for our family and to assist our family in the days to come, as we continue to seek justice for Jacob.  A portion of these proceeds will also be used to benefit my son‰Ûªs six children, some of whom witnessed this horrific act of violence.Anyone wishing to send cards, letters of encouragement  and/or contributions in the form of a money order or check, may do so by mail at: Julia Y. Jacksonc/o Ben Crump Law, PLLC122 S. Calhoun StreetTallahassee, FL 32301Attn: Adner Marcelin "
3,Official Navajo Nation COVID-19 Relief Fund,"Created May 4, 2020","Medical, Illness & Healing",1000000,1879100,879100,1,1,22200,72000,584,"The Navajo Nation COVID-19 Fund has been established to help the Navajo Nation respond to the COVID-19 pandemic. This is the Navajo Nation‰Ûªs only official COVID-19 fundraising and donation effort.The Navajo Nation is accepting monetary and non-monetary donations to address immediate medical and community needs. åÊThe Navajo Nation‰Ûªs Health Command Center is coordinating donations to the Nation through the Nation's Department of Justice and Office of the Controller.åÊ Pearline Kirk is the Navajo Nation Controller.åÊ åÊNon-monetary donations are also accepted.åÊ åÊåÊFor more information see www.navajo.fund or call (928)871-6206.åÊFor official information on COVID-19 on the Navajo Nation, please see: https://www.ndoh.navajo-nsn.gov/COVID-19åÊThe Official Navajo Nation government website is: https://www.navajo-nsn.govåÊRead more"
4,Cesvi per l'ospedale di Bergamo e gli anziani,"Created March 10, 2020","Medical, Illness & Healing",1948052,1956195,8143,1,0,21800,36600,21800,"Per aggiornamenti su come stiamo impiegando i fondi raccolti:åÊ cesvi.org/newsletteråÊIl territorio bergamasco Ì¬ drammaticamente colpito con piÌ_ di 11.500 persone contagiate. I medici e tutto il personale dell'Asst Papa Giovanni XXIII stanno lavorando senza sosta. La situazione Ì¬ drammatica e nei prossimi giorni non potrÌÊ che peggiorare ulteriormente.Possiamo aiutarli rinforzando la terapia intensiva dell'Ospedale Papa Giovanni. Servono:- Ventilatori- Dispositivi di ventilazione non invasiva- Monitoraggio emodinamico- Cuffie, camici e occhiali monousoTutti i fondi raccolti saranno versati all'Ospedale Papa Giovanni ad eccezione di una quota che sarÌÊ destinata all'assistenza agli anziani soli a Milano e a Bergamo (consegna pasti, spesa, mascherine e medicinali a domicilio).Dona quello che puoi per raggiungere l'obiettivo.-----------------------------------------------------------------------------------------------------------ENGLISH VERSIONCESVI CALLS FOR SUPPORT FOR PAPA GIOVANNI XXIII HOSPITAL IN BERGAMO AND ELDERLY IN NEEDBergamo city and its province are dramatically hit by Coronavirus: more than 11,500 people are infected. Doctors and personnel of the Papa Giovanni XXIII Hospital are tirelessly working. The dramatic situation will get worse in the coming days.We can help them enforcing the intensive care unit of Papa Giovanni XXIII Hospital. They need:- Mechanical ventilation unit- Non invasive ventilation unit - Emodynamic monitoring unit- Disposable surgical caps, scrubs, single-use glassesAll funds will be donated to Papa Giovanni XXIII Hospital, except for a quote dedicated to the home assistance for lonely elderly people in Bergamo and Milan (food delivery, grocery shopping, masks, medicine at home).Donate what you can to reach the goal!Read more"
5,Save Nil's Life!,"Created March 10, 2020","Medical, Illness & Healing",2400000,2402960,2960,1,0,12800,16800,576,"Save Nil‰Ûªs Life ! I am starting a campaign for Nil GÌ_leÌ¤ who is the daughter of my close friends Ali and Nihan GÌ_leÌ¤. Nil was diagnosed with spinal muscular atrophy (SMA) type 2. In order to have aåÊ better future, Nil has to receive a genetic therapy called Zolgensma. Zolgensma costs $ 2.1 million, with additional expenses the total amount reaches $ 2.4 million. Zolgensma approval only covers children under 2 years. Nil is 18 months old. We have a fight against the clock. She must receive her treatment in the United States. Below, you can find the story of Nil and her family. Your donations will be greatly appreciated. This campaign is dedicated exclusively to Nil.----------------------------------------------------------------------------------------------------------------------------------When you find out you're going to be a mom, everything changes. From that moment on, your life will be completely different, and you start worrying about being able to ensure a good life, a good academic education, the best environment and a more comfortable and safe route throughout your life. And you do it with an unconditional love and you are excited to think about the precious and unique moments to enjoy with your baby.You give birth to your baby and the doctor leaves it in your shaking hands. It is the best feeling in the world. The first contact between you makes you a natural teacher to handle everything that scared you before for lack of experience. You start feeling more secure. And the more you share something with your baby, the more you enjoy being a mother. You already have the answer instinctively of all the questions that you had when you were pregnant. And now is the time to grow together with your baby, cry together, laugh together ...But at one point, even if you have no idea what is happening, something happens and time starts to run in the wrong direction. And that moment all your future plans are shattered, motherhood already has another dimension and your sweet dreams are replaced by a tremendous concern. Because your daughter is diagnosed with a rare disease: Spinal Muscular AtrophyAt first you don't want to believe it. Your heart is broken You blame yourself because you have brought it into the world. Your baby is innocent. On the one hand, you die of regret, your soul hurts, you have the words drowned in your throat but on the other hand the doctors keep telling you that your daughter has to start her treatment immediately. Because every moment, a motor neuron dies.Spinal Muscular Atrophy (SMA) is a neuromuscular disease, which is manifested by a progressive loss of muscle strength that affects the ability to walk, swallow and breathe. And it is the first genetic cause of infant mortality. It is caused by a mutation in the survival gene of motor neurons 1 (SMN1). This gene is responsible for the production of a protein that is critical for the nerves that control our muscles. Without this protein, these neurons cannot function properly and die at any given time.Our daughter Nil is 18 months old. And there is a genetic therapy called ""Zolgensma"" approved by the US Food and Drug Administration (FDA) for children under 2 years old with a price of 2.15 million dollars. Zolgensma is designed to replace the missing or defective SMN1 gene with a functional copy that produces the SMN protein, thereby improving the function and survival of motor neurons. It seems that Zolgensma can save lives of those who are lucky enough to get it with a single dose treatment.Today Nil can't stand or walk. Unfortunately, we don't have a second to lose. We imagine her walking, running, playing with her friends and we want her to be part of society, feel proud of herself and have a long life.We, as her parents, without knowing that we are carriers of this disease, are broken, it is hard for us to breathe, say something or think ... We need the support of volunteers who can help us during this fight and donate motor neurons for our little daughter. We hope that Nil is one of the lucky patients receiving this treatment.----------------------------------------------------------------------------------------------------------------------------------€¡ki Ì¤ok yak€±n arkada�Ù€±m Ali ve Nihan GÌ_leÌ¤‰Ûªin k€±z€± Nil GÌ_leÌ¤ iÌ¤in bir ba€Ù€±�Ù kampanyas€± ba�Ùlat€±yorum. Nil, Spinal MÌ_skÌ_ler Atrofi (SMA) Tip 2 hastas€±. Ona daha sa€Ùl€±kl€± bir gelecek b€±rakabilmek iÌ¤in Amerika‰Ûªda sadece 2 ya�Ù alt€±ndaki bebekler iÌ¤in onaylanan ve 2.1 milyon USD bedelindeki Zolgensma isimli gen terapisini almas€± gerekiyor. Tedaviyi Amerika‰Ûªda alacak. Tedavinin di€Ùer maliyetleri ile birlikte toplanmas€± gereken ba€Ù€±�Ù miktar€± 2.4 milyon USD‰Ûªyi buluyor. Nil �Ùuan 18 ayl€±k ve malesef zaman€±m€±z Ì¤ok k€±s€±tl€±. Yapaca€Ù€±n€±z tÌ_m ba€Ù€±�Ùlar bizim iÌ¤in Ì¤ok de€Ùerli. A�Ùa€Ù€±da ailesinin hikayesini payla�Ù€±yorum. Bu kampanya sadece Nil‰Ûªe adanm€±�Ùt€±r.----------------------------------------------------------------------------------------------------------------------------------Anne olaca€Ù€±n€±z€± Ì¦€Ùrendi€Ùinizde tÌ_m dÌ_nyan€±z de€Ùi�Ùir. O saniyeden sonra art€±k hayat bamba�Ùkad€±r. DÌ_nyaya yeni bir can getirmenin sorumlulu€Ùuyla, bebe€Ùiniz iÌ¤in en iyi hayat€±, en do€Ùru e€Ùitim ko�Ùullar€±n€±, en kaliteli sosyal ortam€± ve de en sa€Ùl€±kl€± hayat€± sunmak iÌ¤in planlar yapars€±n€±z. Bunu ko�Ùulsuz bir a�Ùkla yaparken bir yandan da zaman su gibi ak€±p gitmesin, her an€±n tad€±na doyas€±ya varmak istersiniz.Do€Ùum gÌ_nÌ_ gelir kap€±y€± Ì¤alar. Doktorunuz deneyimsiz ellerinize minik bebe€Ùinizi verir. €¡�Ùte bu dÌ_nyan€±n en gÌ_zel en tarif edilemez hissidir. Bebe€Ùinizle kurdu€Ùunuz ba€Ù sizi hiÌ¤ deneyimlemedi€Ùiniz bir konuda uzman yapar. Kendinize gÌ_venmeye ba�Ùlars€±n€±z. Ve payla�Ùt€±kÌ¤a ebeveyn olman€±n keyfini Ì¤€±kar€±rs€±n€±z. Do€Ùum Ì¦ncesinde akl€±n€±za gelen tÌ_m soru i�Ùaretleri art€±k cevab€±n€± hayat€±n bu do€Ùal ak€±�Ù€±nda cevap bulmaya ba�Ùlar. Ve zaman bebe€Ùinizle bÌ_yÌ_menin, onunla a€Ùlaman€±n ve gÌ_lmenin zaman€±d€±r.Ancak bir noktada siz fark€±nda olmasan€±z dahi, bazen zaman tam tersine akar. Ve o andan itibaren bildi€Ùiniz tek �Ùey, gelecek planlar€±n€±z€±n Ì¤Ì¦ktÌ_€ÙÌ_, o gÌ_ne kadarki ebeveynlik serÌ_veninizin kÌ¦kten de€Ùi�Ùti€Ùi bir boyuta geÌ¤ti€Ùi ve kurdu€Ùunuz tatl€± hayallerin kayg€±ya dÌ¦nÌ_�ÙtÌ_€ÙÌ_dÌ_r. ÌàÌ_nkÌ_ gÌ¦zÌ_nÌ_zden sak€±nd€±€Ù€±n€±z bebe€Ùinize ismini hiÌ¤ duymad€±€Ù€±n€±z nadir bir hastal€±k tan€±s€± konmu�Ùtur. Spinal MÌ_skuler Atrofi. ÌÐnce inanmak istemezsiniz. Kalbiniz paramparÌ¤a olur. Kendinizi suÌ¤lars€±n€±z, Ì¤Ì_nkÌ_ dÌ_nyaya gelmek isteyen ki�Ùi bebe€Ùiniz de€Ùildir. Bebe€Ùiniz masumdur. Kalbiniz daimi bir pi�Ùmanl€±k ya�Ùarken, doktorlar€±n devaml€± sÌ¦yledi€Ùi cÌ_mle akl€±n€±zdan asla Ì¤€±kmaz: ‰ÛÏBir an evvel tedaviye ba�Ùlamal€±!‰Û�. ÌàÌ_nkÌ_ her kaybetti€Ùiniz saniye bebe€Ùinizde bir motor nÌ¦ron Ì¦lmektedir.SMA, insanlar€±n yÌ_rÌ_me, yemek ve nefes alma yetene€Ùini etkileyen �Ùiddetli kas gÌ_Ì¤sÌ_zlÌ_€ÙÌ_ne neden olan ilerleyici bir nÌ¦romÌ_skÌ_ler hastal€±kt€±r. Ve bebeklerde 1 numaral€± genetik Ì¦lÌ_m nedenidir. Bu, sa€Ùkal€±m motor nÌ¦ron gen 1'deki (SMN) bir mutasyondan kaynaklan€±r. Sa€Ùl€±kl€± bir insanda bu gen, kaslar€±m€±z€± kontrol eden sinirlerin i�Ùlevi iÌ¤in kritik olan bir protein Ì_retir. SMN geni SMA‰Ûªda bozuk olup hiÌ¤ protein Ì_retemedi€Ùi iÌ¤in vÌ_cutta motor nÌ¦ron kay€±plar€± olur. Bunun sonucunda ise istemli kaslar iyi hareket edemez kuvvetsizlik ve kas zay€±fl€±€Ù€± (atrofi) gÌ¦rÌ_lÌ_r.Nil �Ùuan 18 ayl€±k. FDA taraf€±ndan sadece 0-2 ya�Ù bebekler iÌ¤in onaylanm€±�Ù ‰ÛÏZolgensma‰Û� adl€± bir gen terapisi mevcut bulunmaktad€±r. Ancak malesef ilac€±n bedeli 2.15 milyon dolar. Zolgensma, adeno ili�Ùkili virÌ_s vektÌ¦rÌ_ tabanl€± bir gen tedavisidir. VirÌ_s vektÌ¦rÌ_, sa€Ùl€±kl€± ve tam anlam€±yla fonksiyonel insan SMN geni iÌ¤ermektedir. Sa€Ùl€±kl€± geni ta�Ù€±yan vektÌ¦r SMN genini hedef almaktad€±r. Zolgensma'n€±n tek doz intravenoz (toplardamardan) uygulamas€±, Ì¤ocu€Ùun motor nÌ¦ronlar€±nda SMN proteininin Ì_retilmesi ile sonuÌ¤lan€±r; bu, kas hareketini ve fonksiyonunu geli�Ùtirir ve SMA'l€± bir Ì¤ocu€Ùun hayatta kalmas€±n€± sa€Ùlar.Tek seferlik tedavi ile yeterince �Ùansl€± olan hastalar€±n hayatlar€±n€± kurtarabilir.Nil kendi gÌ_cÌ_yle aya€Ùa kalkam€±yor, yÌ_rÌ_yemiyor. Ve bu gen tedavisi iÌ¤in Ì_zerimizde ciddi bir zaman bask€±s€± var. Nil‰Ûªin ayakland€±€Ù€±, arkada�Ùlar€±yla birlikte ko�Ùtu€Ùu, ait oldu€Ùu toplumda Ì¦zgÌ_venli biri olmas€±, uzun ve sa€Ùl€±kl€± bir ya�Ùam sÌ_rmesi iÌ¤in her gÌ_n her gece dua ediyoruz.Anne baba olarak, bilmeden ve istemeden bu hastal€±€Ù€±n ta�Ù€±y€±c€±s€± olman€±n getirdi€Ùi sorumlulu€Ùun alt€±nda her geÌ¤en gÌ_n kahroluyoruz, nefes alam€±yoruz. Bu zorlu yolculu€Ùumuzda bizimle birlikte yÌ_rÌ_yecek ve Nil iÌ¤in motor nÌ¦ron ba€Ù€±�Ùlamak isteyen gÌ¦nÌ_llÌ_lere ihtiyac€±m€±z var. Umuyoruz ki sizlerin de deste€Ùiyle Nil, bu gen terapiyi alacak �Ùansl€± bebeklerden biri olacak.E€Ùer siz de Nil‰Ûªin hayat€±n€± kurtarmak iÌ¤in bizlere yard€±mc€± olmak isterseniz, bize destek verebilirsiniz.----------------------------------------------------------------------------------------------------------------------------------Estoy comenzando una campaÌ±a para Nil GÌ_leÌ¤ que es la hija de mis Ì_ntimos amigos Ali y Nihan GÌ_leÌ¤, a quien le diagnosticaron con atrofÌ_a muscular espinal (AME) tipo 2. Para poder tener un futuro, Nil tiene que recibir una terapia genÌ©tica llamada Zolgensma. Zolgensma cuesta 2,1 millones de dÌ_lares, con gastos adicionales la cantidad total necesaria alcanza a 2.4 millones de dÌ_lares. La aprobaciÌ_n de Zolgensma sÌ_lo cubre a niÌ±os menores de 2 aÌ±os. Nil tiene 18 meses. Tenemos una lucha a contrarreloj. Ella debe recibir su tratamiento en los Estados Unidos. A continuaciÌ_n, puedes encontrar la historia de Nil y de su familia. Tus donaciones serÌÁn enormemente apreciadas. Esta campaÌ±a estÌÁ dedicada exclusivamente a Nil.----------------------------------------------------------------------------------------------------------------------------------Cuando te enteras de que vas a ser mamÌÁ, todo cambia. A partir de ese momento tu vida serÌÁ distinta completamente, ya empiezas a preocuparte por poder asegurarle una buena vida, una buena educaciÌ_n acadÌ©mica, el mejor entorno y un recorrido mÌÁs cÌ_modo y seguro a lo largo de su vida. Y lo haces con un amor incondicional y te ilusiona pensar en los momentos preciosos e Ì¼nicos para disfrutar con tu bebÌ©. Das a luz a tu bebÌ© y el mÌ©dico lo deja en tus manos temblorosas. Es el mejor sentimiento del mundo. El primer contacto entre vosotros te convierte en una maestra natural para manejar todo que te asustaba antes por falta de experiencia. Empiezas a sentirte mÌÁs segura. Y cuanto mÌÁs compartes algo con tu bebÌ©, mÌÁs disfrutas de ser madre. Ya tienes la respuesta instintivamente de todas las preguntas que te comÌ_an la cabeza cuando estabas embarazada. Y ahora es el momento de crecer junto con tu bebÌ©, llorar juntos, reÌ_r juntos... åÊåÊPero en un momento dado, aunque no tengas ni idea de lo que estÌÁ pasando, pasa algo y el tiempo empieza a correr a una direcciÌ_n equivocada. Y ese momento todos tus planes futuros estÌÁn destrozados, la maternidad ya tiene otra dimensiÌ_n y tus sueÌ±os dulces estÌÁn sustituidos por una preocupaciÌ_n tremenda. Porque le diagnostican a tu hija con una enfermedad rara: La AtrofÌ_a Muscular Espinal åÊAl principio no quieres creÌ©rtelo. Se te rompe el corazÌ_n. Te culpas a ti misma porque tÌ¼ lo has traÌ_do al mundo. Tu bebÌ© es inocente. Por un lado, te mueres de arrepentimiento, te duele el alma, se te quedan las palabras ahogadas en la garganta pero por otro lado los mÌ©dicos siguen diciÌ©ndote que tu hija tiene que comenzar su tratamiento inmediatamente. Porque cada momento, muere una neurona motora. åÊLa AtrofÌ_a Muscular Espinal (SMA por su sigla en inglÌ©s) es una enfermedad neuromuscular, que se manifiesta por una pÌ©rdida progresiva de la fuerza muscular que afecta la capacidad de caminar, tragar y respirar. Y es la primera causa genÌ©tica de mortalidad infantil. Es causada por una mutaciÌ_n en el gen de supervivencia de las neuronas motoras 1 (SMN1). Este gen es responsable de la producciÌ_n de una proteÌ_na que es crÌ_tica para los nervios que controlan nuestros mÌ¼sculos. Sin dicha proteÌ_na, estas neuronas no pueden funcionar correctamente y mueren en un momento dado. åÊåÊåÊåÊåÊNuestra hija Nil tiene 18 meses. Y existe una terapia genÌ©tica llamada ‰ÛÏZolgensma‰Û� aprobada por la AdministraciÌ_n de Medicamentos y Alimentos de EE. UU. (FDA por sus siglas en inglÌ©s) para los niÌ±os menores de 2 aÌ±os con un precio de 2.15 millones de dÌ_lares. Zolgensma estÌÁ diseÌ±ada para reemplazar el gen SMN1 faltante o defectuoso con una copia funcional que produce la proteÌ_na SMN, mejorando asÌ_ la funciÌ_n y la supervivencia de las neuronas motoras. Parece que Zolgensma puede salvar vidas de aquellos que tienen la suerte de obtenerlo con un tratamiento de Ì¼nica dosis.åÊåÊåÊ Hoy Nil no puede ponerse de pie o caminar. Desgraciadamente no tenemos ni un segundo a perder.åÊ Este tratamiento es nuestra Ì¼nica oportunidad para su futuro. Me la imagino caminando, corriendo, jugando con sus amigos y quiero que forme parte de la sociedad, se sienta orgullosa de sÌ_ misma y tenga una vida larga. Nosotros, como sus padres, sin saber que somos portadores de esta enfermedad, estamos destrozados, ya nos cuesta respirar, decir algo o pensar‰Û_ Necesitamos el apoyo de voluntarios que puedan echarnos una mano durante esta lucha y donar neuronas motoras para nuestra pequeÌ±a hija. Esperamos que Nil sea uno de los pacientes afortunados que recibe este tratamiento.Read more"
6,A Better Life for Livie,"Created May 8, 2020","Medical, Illness & Healing",1298701,1351779,53078,1,0,3100,30900,31000,"We are raising funds for the treatment and care of Olivia, our beautiful baby girl. Little Livie has been diagnosed with a rare and serious genetic neuromuscular condition called spinal muscular atrophy (SMA) type 1.åÊ SMA is caused by a gene deletion which results in deterioration of Livie‰Ûªs nerve cells connecting her brain and spinal cord to her body‰Ûªs muscles. There is no cure and Livie has its most severe type. Livie‰Ûªs muscles used for activities such as crawling, walking, sitting up, moving her head, and even swallowing and breathing, are becoming progressively weaker and shrinking. Without any treatment, little Livie‰Ûªs condition would continue to deteriorate and it would be unlikely that she would live past her 2nd birthday. Every child with SMA is different and little Livie‰Ûªs future is very uncertain. Treatment options for little Livie are very limited.åÊ Our best hope for a better life for Livie is a once-off gene therapy called Zolgensma, which is currently only available in USA. It costs approximately US$2,100,000. Studies have shown that Zolgensma can substantially improve quality of life. Livie's antibody test qualifies her for the treatment. We are against the clock as Zolgensma is only available to children under the age of two years. Little Livie‰Ûªs StoryLittle Livie was born on the 26th August 2019. We have never felt a love like this. It was incredible for us to see our first child smile, laugh and babble for the first time and watch her develop her little bright, affectionate and loving personality. Livie brings such joy and happiness to our lives every day and her smile can brighten the whole room even on the rainiest Irish day.We grew concerned as Livie missed some of her development milestones. We contacted her GP and were eventually referred to Crumlin Children‰Ûªs Hospital. Our world changed forever on 9th April when little Livie was diagnosed with SMA type 1. This condition affects approximately one in every 10,000 babies. It had already been such a hard time for our family with the COVID-19 lockdown. Due to hospital policy on social distancing, Karen (Livie‰Ûªs mum) was alone when given the diagnosis and Keith (Livie‰Ûªs dad) was alone when he heard the diagnosis over the phone. It is something that will stay with us and our family for the rest of our lives. We were left devastated and one of the hardest parts of this process is being isolated without support from our family and friends during this difficult time.SMA does not affect Livie‰Ûªs cognitive ability. She remains a bright, alert and bubbly little girl, curious about everything she sees and desperate to experience life. Livie‰Ûªs smile and laugh are infectious. She loves engaging with people and wants to be in the thick of every conversation around her. Normal infections and illnesses such as a chest infection can be very serious for Livie, possibly life-threatening. The current COVID-19 pandemic is so worryingly dangerous for Livie. Karen will be Livie‰Ûªs full time carer as Livie needs support all day and every day. Her days and weeks are busy with medical appointments and check-ups.Livie has received her first dose of another treatment called Spinraza through a lumbar puncture in Ireland. We remain hopeful that Spinraza will prolong Livie‰Ûªs life and allow Livie to gain a degree of head control and sit with extra support. We have been advised that Livie will still need respiratory and feeding intervention to survive. She is already struggling with her breathing and coughing. She needs to wear an oxygen mask every night. This is very uncomfortable for Livie and she struggles to sleep with it. It is very unlikely that Livie will ever stand or walk.We are fundraising for Zolgensma because we could never afford to pay for this treatment by ourselves. Our dream for Livie is to give her the best chance at life possible. Zolgensma is our best hope to do this. If we are unable to raise enough funds to pay for little Livie‰Ûªs treatment, we will put all donations towards Livie‰Ûªs care with the hope of giving her the most comfortable and happy life possible.Read more"
7,Help a front line nurse and baby get proper care,"Created April 24, 2020","Medical, Illness & Healing",1200000,955328,-244672,0,0,18300,16400,586,"On Sunday, April 12, Sylvia Leroy, a pregnant nurse, positive with COVID19 suffered a cardiac arrest at Mt. Sinai hospital after successfully coming off a ventilator 7 days prior.åÊ Her premature daughter was delivered at 30 weeks and is in the NICU.åÊ The arrest lasted 8 minutes and has left her with anoxic brain injury due to lack of oxygen and presently she‰Ûªs awake but minimally conscious, not able to respond to sounds, touch or commands.åÊSylvia will need significant long-term acute cognitive and physical therapy to help give her a fighting chance for her baby Esther and her 3 year old toddler Jay.åÊ Sylvia‰Ûªs union insurance unfortunately covers only 30 days of acute rehabilitation - at centers like Kessler in NJ, Moss Rehab in PA and TIRR Memorial in Texas - a handful across the country that specialize in recovery for people suffering from severe disorders of consciousness due to lack of oxygen to the brain like Sylvia.Sylvia‰Ûªs family has been fighting early on to get her the best care possible, from transferring her to Mt. Sinai hospital and getting her into an acute rehabilitation center.åÊ Please help Sylvia get the care she needs to be there for her family.åÊAbout Sylvia:Sylvia is 35, a nurse at Brookdale Hospital, wife and mother of 2 young children.åÊ Sylvia is truly loved by her friends & family for her warmth, dedication to people who are underserved and love for God.åÊ Sylvia sadly contracted COVID19 while working to help other sick patients and now she and her children need your support. Your generous donation will go to Sylvia‰Ûªs medical expenses and care for her children.åÊ We thank you and cherish your gift of love.Read more"
8,"Rest up, Tommy, we'll see you soon","Created July 17, 2020","Medical, Illness & Healing",1000000,677600,-322400,0,0,10300,21400,573,"First, thank you for being here. Tommy Rivers and his beautiful family have been a shining light guiding so many through dark times; now is the time to reciprocate and prove that love is, indeed, always the answer. As some of you may know, almost a month ago, Tommy Rivs was admitted to the ICU with respiratory issues. After several weeks of testing and a lung biopsy, doctors discovered the presence of cancer. Specifically, Tommy Rivers was diagnosed with Primary Pulmonary NK T-Cell Lymphoma, a very rare and aggressive form of Lymphoma. Tommy was moved to a hospital in Scottsdale, AZ, where he is receiving chemotherapy under the guidance and expertise of some of the leading lymphoma physicians in the world.åÊ As you can imagine, this treatment is expensive, and Tommy and his family could use all of the financial support they can get.Your generosity can help lighten the load, so that he can focus on recovery, as he taught us to do. Your kind donation will go directly to Steph and Tommy to help deal with the financial repercussions of his current condition, so they can focus on healing and supporting one another. Other ways to help: Because love knows no bounds and neither does Tommy‰Ûªs heart, even from his ICU bed, he urged us to consider donating to provide emergency assistance to families of the Navajo nation, through an organization that is dear to him, Ajooba' Hasin, Families to Families. https://www.gofundme.com/f/clean-water-for-navajoRead more"
9,OFFICIAL BRANDON SAENZ MEDICAL FUND,"Created June 3, 2020","Medical, Illness & Healing",750000,570579,-179421,0,0,24300,5500,586,"My name is Melissa Green and I am the mother of Brandon Saenz.åÊåÊBrandon is my only son, will always be the baby you see on the right, and sadly his life has forever been changed. On Saturday, May 30, 2020, Brandon was walking to get something to eat in downtown Dallas, and encountered protesters as he walked.åÊåÊPolice officers began walking towards the protestors and with no warning or provocation, they opened fire on the crowd and struck Brandon in his left eye.åÊåÊBrandon had broken no laws.åÊåÊBrandon had to undergo surgery where they were unable to salvage his eye and had to remove it.åÊåÊMy son‰Ûªs entire left side of his face was broken including his nose and jaw. On Wednesday, his 26th birthday, he was released from the hospital and was simply just grateful to be alive.åÊåÊThe officer that committed this heinous crime has been protected by law enforcement and therefore we are unable to hold them accountable at this moment.åÊåÊBrandon has been permanently maimed and is now disabled.åÊåÊHe has a long way to go with medical and life expenses.åÊåÊWe acknowledge that times are tough and appreciate anything that you can donate for my son.åÊåÊThanks you for all of the messages of encouragement as well.åÊåÊTY SINCERELY BRANDON SAENZ AND FAMILYRead more"
